,iEcHS_1320,iECSE_1348,iECBD_1354,iEKO11_1354,iEcSMS35_1347,iZ_1308,iECs_1301,iECSP_1301,iUTI89_1310,iECH74115_1262,iECDH10B_1368,iWFL_1372,iECO103_1326,iECP_1309,iECD_1391,iECO111_1330,iG2583_1286,iECED1_1282,iBWG_1329,iECW_1372,iJO1366,iLF82_1304,iEC042_1314,iECS88_1305,iECUMN_1333,iEcE24377_1341,iECB_1328,iETEC_1333,iECOK1_1307,ic_1306,iAPECO1_1312,iECDH1ME8569_1439,iECNA114_1301,iB21_1397,iE2348C_1286,iUMN146_1321,iY75_1357,iEcolC_1368,iUMNK88_1353,iECABU_c1320,iNRG857_1313,iEcDH1_1363,iECIAI39_1322,iECO26_1355,iECSF_1327,iEC55989_1330
12ppd__S_e,0.5362761180631983,0.5362761180632042,0.5362761180631982,0.5362761180631846,0.5362761180631965,0.5362761180632001,0.5362761180631989,0.5362761180631964,0.5362761180632001,0.5362761612559551,0.565875794029172,0.536276118063198,0.5362761180631999,0.5362761180596378,0.5362761180632002,0.5362761180631959,0.5362761180631987,0.5362676827220901,0.5362761180631945,0.536276118063196,0.5362211355078211,0.5362761180631992,0.5362761180631969,0.5362761180631977,0.536397023301266,0.5362761180632002,0.5362761180631965,0.5362761180631961,0.5362761180631965,0.5805943476911526,0.5362761180631951,0.5362761180631951,0.5362761180631974,0.5362761180631904,0.5362761180631967,0.5362761180632002,0.5362761180631961,0.5362761180631986,0.5362761180631983,0.536276118063198,0.5362761180631985,0.5362761180631971,,0.5362761180631982,0.5362761180631878,0.5362761180631984
14glucan_e,6.043165350929599,6.043165350941811,5.997901329554118,6.043165350941744,6.04316535094183,6.043165350941827,6.043165350941866,6.043165350941822,6.043165350941839,6.043165350941808,2.2196030905753434,6.043165350941798,,6.043165350929257,5.997901329544546,,6.04316535094447,6.043073115826456,6.043165350941817,6.04316535094177,6.042509501250953,6.043165350941775,6.0431653509431085,6.04316535094183,6.044479032400429,6.043165350941808,6.043165350941812,6.043165350946129,6.043165350941788,6.1423147369321445,6.043165350941806,6.043165350941809,6.043165350941865,5.997901329544543,6.043165350941823,6.043165350941835,6.0431653509422985,6.0431653509418215,6.043165350941849,6.043165350936628,6.043165350941838,6.043165350941834,6.045395222749297,6.04316535094181,6.043165350941824,6.043165350938861
3hcinnm_e,1.1484894350653803,1.1484894350653911,1.1484894350653874,1.1484894350654216,1.1484894350653763,1.148489435065387,1.1484894350653785,1.1484894350653911,,1.1484894350653936,,1.1484894350653914,1.1484894350653918,,1.1484894350653867,1.148489435065389,1.1484894350653763,1.148473669368211,,1.1484894350653905,1.1483691280380302,,1.1484894350653856,,1.1487382695539383,1.148489435065387,1.1484894350653885,1.1484894350653845,,0.02568509909105313,,1.1484894350653925,1.148489435065393,1.1484894350655754,,,1.1484894350653851,1.1484894350653878,1.1484894350653874,,,1.148489435065383,1.1489287841720102,1.1484894350653847,1.148489435065379,1.1484894350653958
3hpppn_e,1.1885274143251174,1.1885274143251217,1.1885274143251454,1.1885274143251103,1.188527414325122,1.188527414325114,1.1885274143251223,1.1885274143251232,,1.1885274143263516,,1.1885274143251503,1.1885274143251183,,1.188527414325131,1.188527414325119,1.1885274143251234,1.1885110990132768,,1.1885274143248972,1.1884029132232659,,1.1885274143251143,,1.188784923538721,1.1885274143251285,1.1885274143251165,1.1885274143251332,,0.02568509909105313,,1.1885274143251368,1.1885274143251146,1.1885274143251197,,,1.1885274143251174,1.188527414325125,1.1885274143251168,,,1.18852741432513,1.1889820797680424,1.18852741432512,1.188527414325124,1.1885274143251137
5dglcn_e,0.8165542776077832,,0.8108942611968979,0.816554277607783,0.8165542776077825,,,,0.8165542776077842,,0.8622649543922916,0.8165542776077755,,0.81655427760777,0.8108942611969013,,,,0.8165542776078986,0.816554277607518,0.8164656590048831,0.8165542776077794,,,0.8167317826324026,,0.8165542776077815,,0.8165542776077824,0.8643684290694208,0.8165542776077789,0.8165542776077811,,0.8108942611968994,,0.8165542776077825,0.8165542776077828,,,0.8165542776077834,0.816554277607781,0.8165542776077832,0.8168555785415101,,0.8165542776077805,0.8165542776077799
LalaDgluMdap_e,1.1912629657923322,1.1912629657923322,1.1912629657923282,1.1912629657923255,1.1912629657923255,1.1912629657923341,1.191262965792333,1.1912629657923313,1.1912629657923128,1.191262965792331,1.2606428654730446,1.1912629657923368,1.19126296579233,1.1912629657923393,1.191262965792329,1.191262965791469,1.1912629657923306,1.1912463558634176,,1.1912629657923375,1.1911225156780088,1.191262965790445,1.191262965792328,1.1912629657923335,1.19152288798925,1.1912629657923313,1.1912629657923293,1.1912629657923317,1.1912629657923328,1.2461140369567187,1.191262965792335,1.191262965792342,1.1912629657923297,1.191262965792332,1.1912629657923348,1.1912629657911284,1.1912629657923044,1.1912629657923324,1.191262965792089,1.191262965792332,1.1912629657923273,1.1912629657923266,1.1917313768501845,1.1912629657930518,1.1912629657923317,1.1912629657923346
acac_e,0.5473678610704068,,0.547367861069269,,0.5473678610692675,,,,0.5473678610692688,,0.5781549550687697,,,0.5473678610692692,0.5473678610693044,,,0.5473593829428308,0.5473678610692735,,0.5473100770924018,0.5473678610692668,0.547367861069269,0.5473678610692696,0.5474917859515002,0.547367861069261,0.5473678610692617,0.5473678610689376,0.5473678610689544,0.5932641529170397,0.547367861069276,0.5473678610692673,0.547367861069274,0.5473678610692689,0.5473678610692692,0.5473678610692717,0.5473678610692704,0.5473678610692653,0.5473678610692293,0.5473678610692696,0.5473678610692703,0.5473678610692675,0.5475817065806612,,0.5473678610692693,
acgal_e,0.9735193577521208,0.9735193577506408,0.9722005070345577,0.9735193577517038,0.9735193577506468,0.9735193577506375,0.9735193577506427,0.9735193577504315,0.9735193577509534,,,0.9735193577506441,0.9735193577506464,0.9735193577506397,0.9722005070345591,0.9735193577506455,,0.973504879206787,,0.9735193577506417,,0.973519357750826,0.9735193577506419,0.9735193577506421,0.973730951404691,0.9735193577506406,0.9735193577506311,0.9735193577506395,0.9735193577506428,1.0228440391487055,0.9735193577506465,,0.9735193577506431,0.9722005070345623,0.9735193577506385,0.9735193577506439,,0.9735193577506454,0.9735193577448937,0.9735193577506455,0.9735193577506457,,0.9738818565307519,0.9735193577506341,0.9735193577506466,0.9735193577507135
acgal1p_e,0.97351935775064,0.9735193577506395,0.9722005070345512,0.9735193577506446,0.9735193577506326,0.9735193577506431,0.973519357750639,0.9735193577506382,0.9735193577506394,,,0.9735193577507443,0.9735193577506503,0.9735193577506425,0.9722005070345591,0.973519357750643,,0.9735048792069879,,0.9735193577506434,,0.9735193577506462,0.9735193577506445,0.9735193577506417,0.9737309514046911,0.9735193577506376,0.9735193577506353,0.9735193577506454,0.9735193577506456,1.0228440391487035,0.9735193577506406,,0.9735193577506428,0.9722005070345594,0.9735193577506386,0.9735193577506438,,0.9735193577506459,0.9735193577506388,0.9735193577506364,0.973519357751085,,0.9738818565307549,0.9735193577506523,0.9735193577506381,0.9735193577506372
akg_e,,0.6179862098739458,0.6179862098739519,0.6179862098739536,0.6179862098739926,0.6179862098739533,0.6179862098739546,0.6179862098739491,0.6179862098739457,0.6179862098739531,0.6528688284460485,0.61798620987395,0.6179862098739485,0.6179862098739504,0.6179862098739515,0.6179862098739536,0.6179862098740472,0.6179777265713213,0.6179862098739499,0.6179862098739479,0.6179214743338669,0.6179862098739495,0.6179862098739473,0.6179862098739498,0.6181201042553567,0.6179862098739504,0.6179862098739849,0.6179862098739475,0.6179862098739263,0.663859902486623,0.6179862098739489,0.617986209873949,0.6179862098739466,0.6179862098739529,0.617986209873949,0.6179862098745429,0.6179862098739513,0.6179862098739508,0.6179862098739489,0.6179862098739374,0.6179862098739496,0.6179862098739503,0.6182226175249377,0.6179862098739508,0.6179862098739495,0.6179862098739527
